,id,title,genres,averageRating,numVotes,releaseYear,idjw
98,tt0021749,City Lights,"Comedy, Drama, Romance",8.5,206887,1931,tm52402
99,tt1424432,Senna,"Biography, Documentary, Sport",8.5,80652,2010,tm101640
100,tt20850406,Sita Ramam,"Action, Drama, Mystery",8.5,75545,2022,tm1217674
101,tt1152758,Dear Zachary: A Letter to a Son About His Father,"Biography, Crime, Documentary",8.5,43167,2008,tm53920
103,tt7019842,96,"Drama, Romance",8.5,41317,2018,tm307609
105,tt11580854,Sarpatta Parambarai,"Action, Drama, Sport",8.5,26758,2021,tm1075082
106,tt24082438,20 Days in Mariupol,"Documentary, War",8.5,25584,2023,tm1299805
107,tt0346336,The Best of Youth,"Drama, Romance",8.5,25319,2003,tm135963
108,tt8948790,Jersey,"Drama, Sport",8.5,24752,2019,tm469377
109,tt1014762,Home,"Documentary, Family",8.5,23288,2009,tm135283
111,tt0054407,The Hole,"Crime, Drama, Thriller",8.5,21894,1960,tm51989
115,tt0101649,Thalapathi,"Action, Crime, Drama",8.5,14325,1991,tm9319
116,tt9617456,For Sama,"Biography, Documentary, War",8.5,13400,2019,tm461660
117,tt11281220,Intoxicated by Love,"Drama, History, Romance",8.5,13186,2024,tm858390
119,tt4139928,The Legend of Maula Jatt,"Action, Drama, Fantasy",8.5,11302,2022,tm336391
120,tt0053114,The Human Condition I: No Greater Love,"Drama, History, War",8.5,10177,1959,tm40235
121,tt1345836,The Dark Knight Rises,"Action, Crime, Drama",8.4,1912911,2012,tm39888
122,tt0361748,Inglourious Basterds,"Adventure, Drama, War",8.4,1681925,2009,tm143861
123,tt0209144,Memento,"Mystery, Thriller",8.4,1378421,2000,tm19313
124,tt4154796,Avengers: Endgame,"Action, Adventure, Sci-Fi",8.4,1356665,2019,tm1855
125,tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi",8.4,1287061,2018,tm591
126,tt0910970,WALL·E,"Adventure, Animation, Family",8.4,1260613,2008,tm25151
127,tt0081505,The Shining,"Drama, Horror",8.4,1166180,1980,tm97341
128,tt0082971,Raiders of the Lost Ark,"Action, Adventure",8.4,1073960,1981,tm128131
129,tt0090605,Aliens,"Action, Adventure, Horror",8.4,808624,1986,tm121723
130,tt0078788,Apocalypse Now,"Drama, Mystery, War",8.4,741972,1979,tm1268161
131,tt4633694,Spider-Man: Into the Spider-Verse,"Action, Adventure, Animation",8.4,730545,2018,tm222003
132,tt2380307,Coco,"Adventure, Animation, Drama",8.4,649760,2017,tm220546
133,tt1187043,3 Idiots,"Comedy, Drama",8.4,458369,2009,tm142564
134,tt0086879,Amadeus,"Biography, Drama, Music",8.4,448447,1984,tm175246
135,tt0405094,The Lives of Others,"Drama, Mystery, Thriller",8.4,427621,2006,tm34590
136,tt5311514,Your Name.,"Animation, Drama, Fantasy",8.4,356778,2016,tm233386
137,tt0082096,Das Boot,"Drama, War",8.4,279178,1981,tm121831
138,tt0043014,Sunset Boulevard,"Drama, Film-Noir",8.4,248838,1950,tm65789
139,tt0032553,The Great Dictator,"Comedy, Drama, War",8.4,248729,1940,tm72527
140,tt0050825,Paths of Glory,"Drama, War",8.4,225942,1957,tm122436
141,tt0051201,Witness for the Prosecution,"Crime, Drama, Mystery",8.4,149887,1957,tm122880
142,tt8267604,Capernaum,Drama,8.4,116060,2018,tm409630
143,tt26548265,Maharaja,"Action, Crime, Drama",8.4,68193,2024,tm1496950
144,tt0057565,High and Low,"Crime, Drama, Mystery",8.4,60149,1963,tm32149
145,tt1313104,The Cove,"Biography, Crime, Documentary",8.4,52346,2009,tm152857
146,tt9900782,Kaithi,"Action, Crime, Thriller",8.4,46589,2019,tm811608
147,tt3417422,Drishyam,"Crime, Drama, Mystery",8.4,45935,2013,tm218052
148,tt12361178,Drishyam 2,"Crime, Drama, Mystery",8.4,42997,2021,tm1261499
149,tt0770802,Samsara,"Documentary, Music",8.4,39043,2011,tm174456
151,tt3674140,The Salt of the Earth,"Biography, Documentary, History",8.4,24447,2014,tm147585
152,tt0058625,Woman in the Dunes,"Drama, Thriller",8.4,24184,1964,tm180414
155,tt4987556,Thani Oruvan,"Action, Crime, Drama",8.4,22646,2015,tm135147
157,tt0052572,The World of Apu,Drama,8.4,17633,1959,tm37127
160,tt0073000,The Pinchcliffe Grand Prix,"Animation, Comedy, Family",8.4,14785,1975,tm362608
161,tt0314067,Philanthropy,"Comedy, Drama",8.4,14278,2002,tm115385
162,tt26758372,Meiyazhagan,"Drama, Family",8.4,14234,2024,tm1512228
163,tt4991384,Visaaranai,"Crime, Drama, Thriller",8.4,12908,2015,tm234586
167,tt7286456,Joker,"Crime, Drama, Thriller",8.3,1608276,2019,tm349873
168,tt0169547,American Beauty,Drama,8.3,1248612,1999,tm57615
169,tt1049413,Up,"Adventure, Animation, Comedy",8.3,1181381,2009,tm153612
170,tt0086190,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",8.3,1164575,1983,tm3
171,tt0119217,Good Will Hunting,"Drama, Romance",8.3,1137300,1997,tm191716
172,tt0338013,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",8.3,1136099,2004,tm94058
173,tt0105236,Reservoir Dogs,"Crime, Thriller",8.3,1132253,1992,tm123099
174,tt0112573,Braveheart,"Biography, Drama, War",8.3,1129156,1995,tm12503
