,id,title,genres,averageRating,numVotes,releaseYear,idjw
402,tt5027774,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",8.1,582869,2017,tm244171
403,tt1979320,Rush,"Biography, Drama, Sport",8.1,534392,2013,tm176864
404,tt1950186,Ford v Ferrari,"Action, Biography, Drama",8.1,522629,2019,tm420873
405,tt1895587,Spotlight,"Biography, Crime, Drama",8.1,518696,2015,tm218359
406,tt1291584,Warrior,"Action, Drama, Sport",8.1,514351,2011,tm166548
407,tt1454029,The Help,Drama,8.1,512798,2011,tm168805
408,tt0070047,The Exorcist,Horror,8.1,477622,1973,tm190788
409,tt3170832,Room,"Drama, Thriller",8.1,467794,2015,tm140174
410,tt0092005,Stand by Me,"Adventure, Comedy, Drama",8.1,464302,1986,tm111075
411,tt0091763,Platoon,"Drama, War",8.1,456083,1986,tm110805
412,tt0032138,The Wizard of Oz,"Adventure, Family, Fantasy",8.1,450472,1939,tm155702
413,tt0096283,My Neighbor Totoro,"Animation, Comedy, Family",8.1,407427,1988,tm38744
414,tt0081398,Raging Bull,"Biography, Drama, Sport",8.1,395588,1980,tm103040
415,tt0395169,Hotel Rwanda,"Biography, Drama, History",8.1,383761,2004,tm82620
416,tt0077416,The Deer Hunter,"Drama, War",8.1,375511,1978,tm17792
417,tt0071315,Chinatown,"Drama, Mystery, Thriller",8.1,364903,1974,tm109939
418,tt0112471,Before Sunrise,"Comedy, Drama, Romance",8.1,358932,1995,tm10236
419,tt1028532,Hachi: A Dog's Tale,"Biography, Drama, Family",8.1,328239,2009,tm141070
420,tt0381681,Before Sunset,"Drama, Romance",8.1,302072,2004,tm93423
421,tt0059742,The Sound of Music,"Biography, Drama, Family",8.1,276326,1965,tm88215
422,tt0052618,Ben-Hur,"Adventure, Drama",8.1,263399,1959,tm42704
423,tt0129167,The Iron Giant,"Action, Adventure, Animation",8.1,244656,1999,tm46715
424,tt0050212,The Bridge on the River Kwai,"Adventure, Drama, War",8.1,241837,1957,tm122617
425,tt0353969,Memories of Murder,"Crime, Drama, Mystery",8.1,241092,2003,tm136288
426,tt3011894,Wild Tales,"Comedy, Drama, Thriller",8.1,228470,2014,tm146788
427,tt0113247,La haine,"Crime, Drama",8.1,211647,1995,tm7867
428,tt2338151,PK,"Comedy, Drama, Sci-Fi",8.1,210749,2014,tm147913
429,tt0050976,The Seventh Seal,"Drama, Fantasy",8.1,208444,1957,tm120889
430,tt0978762,Mary and Max,"Animation, Comedy, Drama",8.1,195974,2009,tm148719
431,tt0107207,In the Name of the Father,"Biography, Crime, Drama",8.1,195902,1993,tm187801
432,tt0072684,Barry Lyndon,"Adventure, Drama, War",8.1,193233,1975,tm123656
433,tt0041959,The Third Man,"Drama, Film-Noir, Mystery",8.1,189695,1949,tm61131
434,tt4016934,The Handmaiden,"Drama, Romance, Thriller",8.1,188175,2016,tm146371
435,tt0074958,Network,Drama,8.1,179144,1976,tm85518
436,tt0118694,In the Mood for Love,"Drama, Romance",8.1,177084,2000,tm18499
437,tt0047296,On the Waterfront,"Crime, Drama, Thriller",8.1,172291,1954,tm19053
438,tt0032976,Rebecca,"Drama, Mystery, Romance",8.1,159140,1940,tm75749
439,tt0087884,"Paris, Texas",Drama,8.1,131361,1984,tm174079
440,tt0031679,Mr. Smith Goes to Washington,"Comedy, Drama",8.1,125952,1939,tm154590
441,tt0405508,Rang De Basanti,"Comedy, Crime, Drama",8.1,124361,2006,tm32885
442,tt0169102,Lagaan: Once Upon a Time in India,"Drama, Musical, Sport",8.1,123974,2001,tm43399
443,tt0015864,The Gold Rush,"Adventure, Comedy, Drama",8.1,123841,1925,tm146745
444,tt5323662,A Silent Voice: The Movie,"Animation, Drama",8.1,120474,2016,tm233425
445,tt0050986,Wild Strawberries,"Drama, Romance",8.1,120434,1957,tm119834
446,tt8613070,Portrait of a Lady on Fire,"Drama, Romance",8.1,119025,2019,tm468920
447,tt0025316,It Happened One Night,"Comedy, Romance",8.1,116778,1934,tm105201
448,tt0111495,Three Colors: Red,"Drama, Mystery, Romance",8.1,113798,1994,tm117953
449,tt0032551,The Grapes of Wrath,Drama,8.1,104696,1940,tm72381
450,tt3863552,Bajrangi Bhaijaan,"Action, Adventure, Comedy",8.1,104600,2015,tm215641
451,tt0017925,The General,"Action, Adventure, Comedy",8.1,102688,1926,tm19248
453,tt2082197,Barfi!,"Comedy, Drama, Romance",8.1,90027,2012,tm68436
454,tt31193180,Sinners,"Action, Drama, Horror",8.1,89925,2025,tm1461977
455,tt0871510,Chak De! India,"Drama, Family, Sport",8.1,87229,2007,tm78414
456,tt0056217,The Man Who Shot Liberty Valance,"Drama, Western",8.1,85709,1962,tm16060
457,tt1280558,A Wednesday,"Action, Crime, Drama",8.1,84128,2008,tm28366
459,tt7775622,Free Solo,"Adventure, Documentary, Sport",8.1,81717,2018,tm407114
460,tt2545118,Blackfish,"Documentary, Drama, Horror",8.1,74870,2013,tm173167
461,tt0036868,The Best Years of Our Lives,"Drama, Romance, War",8.1,74466,1946,tm82253
463,tt0046438,Tokyo Story,Drama,8.1,73880,1953,tm102441
464,tt0046911,Diabolique,"Crime, Drama, Horror",8.1,71483,1955,tm109185
465,tt0058946,The Battle of Algiers,"Drama, War",8.1,70994,1966,tm73791
466,tt0169858,Neon Genesis Evangelion: The End of Evangelion,"Action, Animation, Drama",8.1,70538,1997,tm190835
467,tt0046268,The Wages of Fear,"Adventure, Drama, Thriller",8.1,70409,1953,tm103236
468,tt0020629,All Quiet on the Western Front,"Drama, War",8.1,69988,1930,tm40256
469,tt3322420,Queen,"Adventure, Comedy, Drama",8.1,69759,2013,tm156811
470,tt0083922,Fanny and Alexander,Drama,8.1,69467,1982,tm57296
471,tt2283748,OMG: Oh My God!,"Comedy, Drama, Fantasy",8.1,68107,2012,tm47171
472,tt12888462,My Octopus Teacher,"Documentary, Drama",8.1,67756,2020,tm863808
473,tt1821480,Kahaani,"Mystery, Thriller",8.1,67739,2012,tm72483
474,tt0019254,The Passion of Joan of Arc,"Biography, Drama, History",8.1,64927,1928,tm3293
477,tt0070510,Paper Moon,"Comedy, Crime, Drama",8.1,54974,1973,tm186373
478,tt0050783,Nights of Cabiria,Drama,8.1,54931,1957,tm119324
480,tt2140203,Wolf Children,"Animation, Drama, Family",8.1,52166,2012,tm43008
481,tt2991224,Tangerines,"Drama, War",8.1,50506,2013,tm165512
483,tt0035446,To Be or Not to Be,"Comedy, Romance, War",8.1,46968,1942,tm75346
486,tt0040725,The Red Shoes,"Drama, Music, Romance",8.1,41506,1948,tm4707
487,tt0043338,Ace in the Hole,"Drama, Film-Noir",8.1,40827,1951,tm129545
488,tt0028950,The Grand Illusion,"Drama, War",8.1,40128,1937,tm72601
489,tt0077711,Autumn Sonata,"Drama, Music",8.1,39916,1978,tm19874
490,tt2187153,Thuppakki,"Action, Crime, Thriller",8.1,39848,2012,tm54540
491,tt4934950,Guilty,"Crime, Drama, Mystery",8.1,39777,2015,tm219817
492,tt10324144,Article 15,"Crime, Drama, Mystery",8.1,38525,2019,tm678851
493,tt0048021,Rififi,"Crime, Drama, Thriller",8.1,38051,1955,tm106541
494,tt0018773,The Circus,"Comedy, Family, Romance",8.1,37379,1928,tm4765
495,tt0042041,White Heat,"Action, Crime, Drama",8.1,37195,1949,tm66962
496,tt0375611,Black,Drama,8.1,36906,2005,tm169447
497,tt0101640,Raise the Red Lantern,"Drama, Romance",8.1,36628,1991,tm11699
500,tt0106332,Farewell My Concubine,"Drama, Music, Romance",8.1,35148,1993,tm189072
501,tt14152756,Seaspiracy,"Adventure, Documentary",8.1,34994,2021,tm1018890
502,tt0053946,Inherit the Wind,"Biography, Drama, History",8.1,34248,1960,tm53996
503,tt0097223,Time of the Gypsies,"Comedy, Crime, Drama",8.1,33626,1988,tm49493
504,tt9851854,Major,"Action, Biography, Drama",8.1,33457,2022,tm996762
506,tt0065234,Z,"Crime, Drama, Thriller",8.1,32707,1969,tm72207
507,tt3801314,Kaththi,"Action, Drama",8.1,31819,2014,tm156536
508,tt0244316,Yi Yi,"Drama, Romance",8.1,30457,2000,tm22847
509,tt7236034,I Want to Eat Your Pancreas,"Animation, Drama, Family",8.1,29982,2018,tm405024
511,tt0091288,Jean de Florette,Drama,8.1,28422,1986,tm119717
512,tt8760684,Apollo 11,"Documentary, History",8.1,27977,2019,tm445973
514,tt0064040,Army of Shadows,"Drama, War",8.1,27690,1969,tm75944
516,tt0095467,A Short Film About Love,"Drama, Romance",8.1,27226,1988,tm64216
517,tt0046478,Ugetsu,"Drama, Fantasy, War",8.1,27141,1953,tm109203
518,tt3302820,Cowspiracy: The Sustainability Secret,Documentary,8.1,27053,2014,tm151716
521,tt2659414,Miracle in Cell No. 7,"Comedy, Drama",8.1,25172,2013,tm812998
523,tt0102015,Hearts of Darkness: A Filmmaker's Apocalypse,Documentary,8.1,24449,1991,tm6951
524,tt0014429,Safety Last!,"Action, Comedy, Thriller",8.1,23969,1923,tm7281
526,tt7286916,The Dawn Wall,"Biography, Documentary, Sport",8.1,21784,2017,tm374214
527,tt0056241,The Miracle Worker,"Biography, Drama",8.1,21431,1962,tm10863
528,tt0128332,Innocence,Drama,8.1,21347,1997,tm192840
529,tt0077838,The Last Waltz,"Biography, Documentary, Music",8.1,21221,1978,tm15484
530,tt0093342,Where Is the Friend's House?,"Drama, Family",8.1,20849,1987,tm23284
531,tt0066580,Woodstock,"Documentary, History, Music",8.1,19005,1970,tm105826
532,tt1781069,Zeitgeist: Moving Forward,Documentary,8.1,18884,2011,tm182004
533,tt27118357,Amaran,"Action, Biography, Drama",8.1,18828,2024,tm1416459
534,tt0191043,The Color of Paradise,"Drama, Family",8.1,18812,1999,tm60208
535,tt0041452,The Heiress,"Drama, Romance",8.1,18202,1949,tm65740
537,tt11375428,Hridayam,"Drama, Musical, Romance",8.1,17842,2022,tm845257
539,tt0016847,Faust,"Drama, Fantasy, Horror",8.1,17504,1926,tm131506
540,tt0076085,A Special Day,Drama,8.1,17264,1977,tm99661
541,tt19853258,Still: A Michael J. Fox Movie,"Biography, Documentary",8.1,16943,2023,tm1285732
542,tt4432480,RangiTaranga,"Mystery, Thriller",8.1,15607,2015,tm220301
543,tt0116630,Indian,"Action, Drama, Musical",8.1,15492,1996,tm111911
544,tt0105271,Roja,"Drama, Romance, Thriller",8.1,14249,1992,tm128538
547,tt10706602,Collective,"Crime, Documentary",8.1,13919,2019,tm823087
549,tt1113829,George Harrison: Living in the Material World,"Biography, Documentary, Music",8.1,12988,2011,tm168252
551,tt3455224,Virunga,"Documentary, War",8.1,12526,2014,tm138431
552,tt0036506,Day of Wrath,"Drama, History",8.1,11561,1943,tm114989
554,tt0029192,Make Way for Tomorrow,"Drama, Romance",8.1,10125,1937,tm63770
555,tt0848228,The Avengers,"Action, Sci-Fi",8.0,1507923,2012,tm64957
556,tt2015381,Guardians of the Galaxy,"Action, Adventure, Comedy",8.0,1317183,2014,tm140097
557,tt1431045,Deadpool,"Action, Comedy, Sci-Fi",8.0,1206171,2016,tm123777
558,tt3659388,The Martian,"Adventure, Drama, Sci-Fi",8.0,967991,2015,tm138400
559,tt1160419,Dune: Part One,"Action, Adventure, Drama",8.0,956252,2021,tm305113
560,tt1663202,The Revenant,"Adventure, Drama, Western",8.0,911277,2015,tm139729
561,tt1010048,Slumdog Millionaire,"Crime, Drama, Romance",8.0,895028,2008,tm54060
562,tt0246578,Donnie Darko,"Drama, Mystery, Sci-Fi",8.0,882040,2001,tm51923
563,tt0947798,Black Swan,"Drama, Thriller",8.0,858992,2010,tm100061
564,tt0317705,The Incredibles,"Action, Adventure, Animation",8.0,855097,2004,tm84505
565,tt2084970,The Imitation Game,"Biography, Drama, Thriller",8.0,853085,2014,tm140877
566,tt0378194,Kill Bill: Vol. 2,"Action, Crime, Thriller",8.0,837694,2004,tm89040
567,tt0401792,Sin City,"Crime, Thriller",8.0,807454,2005,tm175595
568,tt1504320,The King's Speech,"Biography, Drama, History",8.0,721449,2010,tm92034
569,tt3783958,La La Land,"Comedy, Drama, Music",8.0,718860,2016,tm143617
570,tt0381061,Casino Royale,"Action, Adventure, Thriller",8.0,717705,2006,tm39030
571,tt0107048,Groundhog Day,"Comedy, Drama, Fantasy",8.0,716322,1993,tm182885
572,tt1856101,Blade Runner 2049,"Action, Drama, Mystery",8.0,713390,2017,tm239091
573,tt1798709,Her,"Drama, Romance, Sci-Fi",8.0,701546,2013,tm169422
574,tt0758758,Into the Wild,"Adventure, Biography, Drama",8.0,679148,2007,tm76066
575,tt0440963,The Bourne Ultimatum,"Action, Mystery, Thriller",8.0,671313,2007,tm79442
576,tt0114746,12 Monkeys,"Mystery, Sci-Fi, Thriller",8.0,664011,1995,tm16142
577,tt0450259,Blood Diamond,"Adventure, Drama, Thriller",8.0,606959,2006,tm32919
578,tt0454921,The Pursuit of Happyness,"Biography, Drama",8.0,591440,2006,tm20959
579,tt2948356,Zootopia,"Action, Adventure, Animation",8.0,579330,2016,tm122337
580,tt0095953,Rain Man,Drama,8.0,565202,1988,tm43389
581,tt0101414,Beauty and the Beast,"Animation, Family, Fantasy",8.0,493070,1991,tm9048
582,tt0103639,Aladdin,"Adventure, Animation, Comedy",8.0,486410,1992,tm123824
583,tt0319061,Big Fish,"Adventure, Drama, Fantasy",8.0,469158,2003,tm139658
584,tt0093779,The Princess Bride,"Adventure, Comedy, Family",8.0,466303,1987,tm19438
585,tt0079470,Monty Python's Life of Brian,Comedy,8.0,428897,1979,tm70993
586,tt2948372,Soul,"Adventure, Animation, Comedy",8.0,407928,2020,tm375501
587,tt0105323,Scent of a Woman,Drama,8.0,350848,1992,tm125153
588,tt0175880,Magnolia,Drama,8.0,337909,1999,tm55253
589,tt0099348,Dances with Wolves,"Adventure, Drama, Western",8.0,300912,1990,tm155112
590,tt0061722,The Graduate,"Comedy, Drama, Romance",8.0,296590,1967,tm119810
591,tt0072890,Dog Day Afternoon,"Biography, Crime, Drama",8.0,281863,1975,tm125288
592,tt0245712,Amores Perros,"Drama, Thriller",8.0,267779,2000,tm24271
593,tt3741834,Lion,"Biography, Drama",8.0,259519,2016,tm205254
594,tt0063522,Rosemary's Baby,"Drama, Horror",8.0,248252,1968,tm12409
595,tt0083987,Gandhi,"Biography, Drama, History",8.0,243982,1982,tm57354
596,tt1220719,Ip Man,"Action, Biography, Drama",8.0,238491,2008,tm30205
597,tt0064115,Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",8.0,232178,1969,tm192501
598,tt0094625,Akira,"Animation, Drama, Fantasy",8.0,215755,1988,tm44887
599,tt0063442,Planet of the Apes,"Adventure, Sci-Fi",8.0,204842,1968,tm12233
600,tt0352248,Cinderella Man,"Biography, Drama, Romance",8.0,204258,2005,tm179462
601,tt4857264,The Invisible Guest,"Crime, Drama, Mystery",8.0,202583,2016,tm267401
602,tt0061512,Cool Hand Luke,"Crime, Drama",8.0,194273,1967,tm116782
603,tt0092067,Castle in the Sky,"Adventure, Animation, Family",8.0,190934,1986,tm121105
604,tt0087544,Nausicaä of the Valley of the Wind,"Adventure, Animation, Sci-Fi",8.0,190685,1984,tm170523
605,tt10366460,CODA,"Comedy, Drama, Music",8.0,178261,2021,tm983754
606,tt0102138,JFK,"Drama, History, Thriller",8.0,176351,1991,tm8654
607,tt0072431,Young Frankenstein,Comedy,8.0,175391,1974,tm111295
608,tt0276919,Dogville,"Crime, Drama",8.0,164053,2003,tm129039
609,tt0046250,Roman Holiday,"Comedy, Drama, Romance",8.0,153091,1953,tm105262
610,tt0079944,Stalker,"Drama, Sci-Fi",8.0,151268,1979,tm76285
611,tt0310793,Bowling for Columbine,"Crime, Documentary, Drama",8.0,150766,2002,tm108095
612,tt2631186,Baahubali: The Beginning,"Action, Drama",8.0,144752,2015,tm137002
613,tt0070511,Papillon,"Biography, Crime, Drama",8.0,142269,1973,tm186233
614,tt0060827,Persona,"Drama, Thriller",8.0,136157,1966,tm68506
615,tt0338564,Infernal Affairs,"Crime, Drama, Mystery",8.0,134830,2002,tm108648
616,tt0053198,The 400 Blows,"Crime, Drama",8.0,131447,1959,tm38826
617,tt0056801,8½,Drama,8.0,129242,1963,tm660
618,tt0097216,Do the Right Thing,"Comedy, Drama",8.0,118556,1989,tm140279
619,tt0861739,Elite Squad,"Action, Crime, Drama",8.0,114979,2007,tm85041
620,tt0401383,The Diving Bell and the Butterfly,"Biography, Drama",8.0,111739,2007,tm85748
621,tt0156887,Perfect Blue,"Animation, Crime, Drama",8.0,107813,1997,tm190768
622,tt0166896,The Straight Story,"Biography, Drama",8.0,104093,1999,tm55150
623,tt0808417,Persepolis,"Animation, Biography, Drama",8.0,102899,2007,tm72301
624,tt0048424,The Night of the Hunter,"Crime, Drama, Film-Noir",8.0,102632,1955,tm114283
625,tt0117666,Sling Blade,Drama,8.0,101856,1996,tm104832
626,tt0154420,The Celebration,Drama,8.0,97599,1998,tm59391
627,tt11555492,Farha,Drama,8.0,90386,2021,tm1081541
628,tt1555149,Elite Squad 2: The Enemy Within,"Crime, Drama, Thriller",8.0,89529,2010,tm90443
629,tt0374546,"Spring, Summer, Fall, Winter... and Spring","Drama, Romance",8.0,88959,2003,tm137026
630,tt0084503,Pink Floyd: The Wall,"Drama, Fantasy, Music",8.0,87830,1982,tm56454
631,tt0369702,The Sea Inside,"Biography, Drama",8.0,86967,2004,tm81826
632,tt0053779,La Dolce Vita,"Comedy, Drama",8.0,82540,1960,tm61464
633,tt0061184,Who's Afraid of Virginia Woolf?,Drama,8.0,82367,1966,tm65879
634,tt0112870,Dilwale Dulhania Le Jayenge,"Drama, Romance",8.0,80083,1995,tm8836
635,tt0292490,Dil Chahta Hai,"Comedy, Drama, Romance",8.0,77862,2001,tm61056
636,tt0386032,Sicko,"Documentary, Drama",8.0,77703,2007,tm75215
637,tt0052561,Anatomy of a Murder,"Drama, Mystery",8.0,75173,1959,tm40375
638,tt0010323,The Cabinet of Dr. Caligari,"Horror, Mystery, Thriller",8.0,73470,1920,tm104551
639,tt4169250,M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",8.0,71847,2016,tm244619
640,tt0120731,The Legend of 1900,"Drama, Music, Romance",8.0,71457,1998,tm50327
641,tt0053221,Rio Bravo,Western,8.0,70996,1959,tm37446
642,tt0384116,G.O.R.A.,"Adventure, Comedy, Sci-Fi",8.0,69327,2004,tm82718
644,tt1865505,Song of the Sea,"Adventure, Animation, Drama",8.0,65769,2014,tm135801
645,tt0056687,What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",8.0,64918,1962,tm9997
646,tt3612616,Mommy,Drama,8.0,63965,2014,tm153143
647,tt0114787,Underground,"Comedy, Drama, Fantasy",8.0,62796,1995,tm7540
648,tt0062229,Le Samouraï,"Crime, Drama, Thriller",8.0,62423,1967,tm121175
649,tt1185616,Waltz with Bashir,"Animation, Biography, Documentary",8.0,61739,2008,tm46717
652,tt4044364,Citizenfour,"Biography, Documentary",8.0,59083,2014,tm159549
653,tt0060107,Andrei Rublev,"Biography, Drama, History",8.0,58950,1966,tm71747
654,tt2576852,The Tale of The Princess Kaguya,"Animation, Drama, Family",8.0,58245,2013,tm172808
655,tt0050613,Throne of Blood,Drama,8.0,58098,1957,tm119925
656,tt0118843,"Black Cat, White Cat","Comedy, Crime, Romance",8.0,57682,1998,tm56657
657,tt2758880,Winter Sleep,Drama,8.0,57507,2014,tm153432
659,tt1069238,Departures,Drama,8.0,56347,2008,tm54576
660,tt0067328,The Last Picture Show,"Drama, Romance",8.0,54994,1971,tm12799
662,tt0067093,Fiddler on the Roof,"Drama, Family, Musical",8.0,50020,1971,tm15174
663,tt5571734,Pink,"Crime, Drama, Thriller",8.0,49995,2016,tm244411
664,tt0117589,Secrets & Lies,"Comedy, Drama",8.0,49623,1996,tm105539
665,tt0140888,Central Station,Drama,8.0,47867,1998,tm48371
666,tt0037558,Brief Encounter,"Drama, Romance",8.0,46547,1945,tm15621
667,tt0051808,The Hidden Fortress,"Adventure, Drama",8.0,44009,1958,tm127957
668,tt0056443,Sanjuro,"Action, Drama, Thriller",8.0,42750,1962,tm15573
669,tt0039689,Out of the Past,"Crime, Drama, Film-Noir",8.0,42654,1947,tm94088
670,tt5198068,Wolfwalkers,"Action, Adventure, Animation",8.0,41916,2020,tm314230
671,tt4257858,Going Clear: Scientology & the Prison of Belief,Documentary,8.0,41802,2015,tm142102
673,tt0056111,Ivan's Childhood,"Drama, War",8.0,41732,1962,tm10761
674,tt0033045,The Shop Around the Corner,"Comedy, Drama, Romance",8.0,41586,1940,tm80631
675,tt0041546,Kind Hearts and Coronets,"Comedy, Crime",8.0,40791,1949,tm59093
676,tt8633462,"Quo Vadis, Aida?","Drama, History, War",8.0,40494,2020,tm919867
679,tt0051036,Sweet Smell of Success,"Drama, Film-Noir",8.0,38004,1957,tm122297
680,tt0092593,Au Revoir les Enfants,"Drama, War",8.0,37452,1987,tm20422
681,tt0056732,The Exterminating Angel,"Drama, Fantasy",8.0,36948,1962,tm7715
683,tt0408664,Nobody Knows,Drama,8.0,33507,2004,tm87232
685,tt27540542,Lucky Baskhar,"Crime, Drama, Thriller",8.0,32441,2024,tm1340858
686,tt0038890,"Rome, Open City","Drama, Thriller, War",8.0,32087,1945,tm20341
687,tt0072417,A Woman Under the Influence,"Drama, Romance",8.0,31296,1974,tm108804
688,tt3461252,The Blue Elephant,"Crime, Drama, Horror",8.0,30529,2014,tm158352
689,tt24485052,Sirf Ek Bandaa Kaafi Hai,"Crime, Drama, Thriller",8.0,30392,2023,tm1338192
690,tt6628102,The Wild Pear Tree,Drama,8.0,29519,2018,tm266651
691,tt1935156,Jodorowsky's Dune,Documentary,8.0,28766,2013,tm175058
692,tt0057358,Winter Light,Drama,8.0,28267,1963,tm24001
693,tt0055601,Viridiana,Drama,8.0,27159,1961,tm55190
694,tt0038733,A Matter of Life and Death,"Drama, Fantasy, Romance",8.0,26669,1946,tm1395
695,tt0058083,Fail Safe,"Drama, Thriller",8.0,26028,1964,tm186948
696,tt0036244,The Ox-Bow Incident,"Drama, Western",8.0,25901,1942,tm119397
698,tt0070460,Day for Night,"Comedy, Drama, Romance",8.0,25590,1973,tm190694
699,tt0071141,Ali: Fear Eats the Soul,"Drama, Romance",8.0,25028,1974,tm108603
700,tt0091480,Manon of the Spring,Drama,8.0,24837,1986,tm119375
701,tt2070649,Silenced,"Crime, Drama, Thriller",8.0,24758,2011,tm182586
703,tt28814949,Taylor Swift: The Eras Tour,"Documentary, Music, Musical",8.0,24207,2023,tm1380523
704,tt0095468,A Short Film About Killing,"Crime, Drama",8.0,23454,1988,tm63701
705,tt0044837,Limelight,"Drama, Music, Romance",8.0,23142,1952,tm60015
708,tt0379225,The Corporation,"Documentary, History",8.0,22053,2003,tm130848
709,tt0424227,Turtles Can Fly,"Drama, War",8.0,21576,2004,tm96579
712,tt8991268,Honeyland,"Documentary, Drama",8.0,19976,2019,tm446575
713,tt8144834,Section 375,"Crime, Drama, Mystery",8.0,19269,2019,tm811063
715,tt3560686,The Fool,"Crime, Drama, Thriller",8.0,17469,2014,tm162785
716,tt0036112,The Life and Death of Colonel Blimp,"Drama, Romance, War",8.0,17427,1943,tm117703
717,tt0249241,Werckmeister Harmonies,"Drama, Mystery",8.0,16934,2000,tm24460
718,tt22488728,Love Today,"Comedy, Drama, Romance",8.0,16915,2022,tm1263848
719,tt1128075,Love Exposure,"Action, Comedy, Drama",8.0,16894,2008,tm35322
723,tt2458948,Evangelion: 3.0+1.01 Thrice Upon a Time,"Action, Animation, Drama",8.0,16181,2021,tm323222
724,tt0015064,The Last Laugh,Drama,8.0,15917,1924,tm2423
725,tt31392609,How to Make Millions Before Grandma Dies,"Comedy, Drama, Family",8.0,15789,2024,tm1448833
728,tt0079579,Moscow Does Not Believe in Tears,"Comedy, Drama, Romance",8.0,15040,1980,tm98584
729,tt0012364,The Phantom Carriage,"Drama, Fantasy, Horror",8.0,15036,1921,tm127079
730,tt0054460,The Bad Sleep Well,"Crime, Drama, Thriller",8.0,14836,1960,tm56723
731,tt11422728,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Documentary, History, Music",8.0,14654,2021,tm983665
734,tt0065889,Investigation of a Citizen Above Suspicion,"Crime, Drama",8.0,14314,1970,tm100158
735,tt0018742,The Cameraman,"Comedy, Drama, Family",8.0,13882,1928,tm3120
736,tt0043686,Forbidden Games,"Drama, War",8.0,13726,1952,tm58148
737,tt32284154,Rekhachithram,"Drama, Mystery, Thriller",8.0,12749,2025,tm1570421
739,tt0478209,Metal: A Headbanger's Journey,"Documentary, Music",8.0,12695,2005,tm25310
740,tt0278736,Stanley Kubrick: A Life in Pictures,"Biography, Documentary",8.0,12371,2001,tm30778
742,tt3686998,The Red Pill,Documentary,8.0,12314,2016,tm228942
744,tt15980138,Kishkindha Kaandam,"Drama, Mystery, Thriller",8.0,11899,2024,tm1525266
745,tt0063633,The Cremator,"Comedy, Crime, Drama",8.0,11898,1969,tm71625
746,tt2150209,My Grandfather's People,"Comedy, Drama, Family",8.0,11658,2011,tm167498
747,tt11322920,Ayyappanum Koshiyum,"Action, Drama, Thriller",8.0,11657,2020,tm852434
749,tt27542289,Por Thozhil,"Action, Crime, Thriller",8.0,11556,2023,tm1340725
750,tt10515086,The Blue Elephant 2,"Crime, Drama, Horror",8.0,11554,2019,tm814425
751,tt0056444,An Autumn Afternoon,Drama,8.0,11371,1962,tm10274
752,tt15242330,The First Slam Dunk,"Animation, Comedy, Drama",8.0,11346,2022,tm1095723
753,tt2028530,Paradise Lost 3: Purgatory,"Crime, Documentary",8.0,11240,2011,tm172497
754,tt0015881,Greed,"Drama, Thriller, Western",8.0,11232,1924,tm2112
755,tt0366840,Okkadu,"Action, Drama, Romance",8.0,11201,2003,tm150122
756,tt24226474,Jigarthanda Double X,"Action, Comedy, Drama",8.0,11087,2023,tm1338800
757,tt7476236,Minding the Gap,"Documentary, Sport",8.0,10815,2018,tm362890
759,tt0055353,A Raisin in the Sun,Drama,8.0,10192,1961,tm870
760,tt0043313,Early Summer,"Comedy, Drama, Romance",8.0,10180,1951,tm135863
761,tt3270538,Requiem for the American Dream,"Biography, Documentary, News",8.0,10096,2015,tm205244
763,tt0499549,Avatar,"Action, Adventure, Fantasy",7.9,1430593,2009,tm135853
764,tt0120338,Titanic,"Drama, Romance",7.9,1339171,1997,tm191110
765,tt0371746,Iron Man,"Action, Adventure, Sci-Fi",7.9,1173429,2008,tm51227
766,tt3501632,Thor: Ragnarok,"Action, Adventure, Comedy",7.9,855209,2017,tm12119
767,tt2543164,Arrival,"Drama, Mystery, Sci-Fi",7.9,817172,2016,tm205861
768,tt8946378,Knives Out,"Comedy, Crime, Drama",7.9,816909,2019,tm432043
769,tt0126029,Shrek,"Adventure, Animation, Comedy",7.9,773311,2001,tm50314
770,tt1631867,Edge of Tomorrow,"Action, Adventure, Sci-Fi",7.9,772263,2014,tm135878
771,tt1877832,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",7.9,770042,2014,tm155402
772,tt1136608,District 9,"Action, Sci-Fi, Thriller",7.9,735514,2009,tm136410
773,tt0304141,Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",7.9,729111,2004,tm86278
774,tt0454876,Life of Pi,"Adventure, Drama, Fantasy",7.9,685026,2012,tm63441
775,tt0120363,Toy Story 2,"Adventure, Animation, Comedy",7.9,644845,1999,tm40070
777,tt1727824,Bohemian Rhapsody,"Biography, Drama, Music",7.9,622555,2018,tm318913
778,tt0365748,Shaun of the Dead,"Comedy, Horror",7.9,618965,2004,tm88828
779,tt1659337,The Perks of Being a Wallflower,Drama,7.9,570658,2012,tm60939
780,tt0206634,Children of Men,"Drama, Sci-Fi, Thriller",7.9,547534,2006,tm28136
