id,title,genres,averageRating,numVotes,releaseYear
tt6108262,"Black Sun","Crime, Drama, Thriller",8.8,13308,2017
tt13661118,"Not Me","Action, Crime, Romance",8.8,12616,2021
tt2442560,"Peaky Blinders","Crime, Drama",8.7,711015,2013
tt2085059,"Black Mirror","Crime, Drama, Mystery",8.7,692489,2011
tt3581920,"The Last of Us","Action, Adventure, Drama",8.7,652398,2023
tt0412142,House,"Drama, Mystery",8.7,558030,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,500850,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,491182,2017
tt0121955,"South Park","Animation, Comedy",8.7,422563,1997
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,315628,2022
tt0804503,"Mad Men",Drama,8.7,275020,2007
tt6741278,Invincible,"Action, Adventure, Animation",8.7,274200,2021
tt1606375,"Downton Abbey","Drama, Romance",8.7,234685,2010
tt0098936,"Twin Peaks","Crime, Drama, Mystery",8.7,231543,1990
tt5687612,Fleabag,"Comedy, Drama",8.7,226872,2016
tt4508902,"One Punch Man","Action, Animation, Comedy",8.7,201619,2015
tt0988824,"Naruto: Shippuden","Action, Adventure, Animation",8.7,197760,2007
tt0384766,Rome,"Action, Drama, Romance",8.7,194958,2005
tt0407362,"Battlestar Galactica","Action, Adventure, Drama",8.7,182219,2004
tt5555260,"This Is Us","Comedy, Drama, Romance",8.7,167954,2016
tt0248654,"Six Feet Under","Comedy, Drama",8.7,158751,2001
tt5788792,"The Marvelous Mrs. Maisel","Comedy, Drama",8.7,151000,2017
tt0092455,"Star Trek: The Next Generation","Action, Adventure, Drama",8.7,143697,1987
tt13991232,1883,"Drama, Western",8.7,142430,2021
tt1628033,"Top Gear","Adventure, Sport, Talk-Show",8.7,132472,2002
tt0118421,Oz,"Crime, Drama, Thriller",8.7,112227,1997
tt9544034,"The Family Man","Action, Comedy, Drama",8.7,103982,2019
tt0286486,"The Shield","Crime, Drama, Thriller",8.7,92995,2002
tt13309742,"Blue Eye Samurai","Action, Adventure, Animation",8.7,91023,2023
tt0994314,"Code Geass","Action, Animation, Drama",8.7,90995,2006
tt5712554,"The Grand Tour","Comedy, Sport, Talk-Show",8.7,90745,2016
tt3718778,"Over the Garden Wall","Adventure, Animation, Comedy",8.7,80219,2014
tt0758745,"Friday Night Lights","Drama, Sport",8.7,76080,2006
tt2303687,"Line of Duty","Crime, Drama, Mystery",8.7,75766,2012
tt0387764,"Peep Show",Comedy,8.7,70551,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,65835,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,56880,2004
tt10850932,"Crash Landing on You","Adventure, Comedy, Drama",8.7,50896,2019
tt16026746,"X-Men '97","Action, Adventure, Animation",8.7,44897,2024
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,44845,2014
tt7472896,"Mr Inbetween","Comedy, Crime, Drama",8.7,40379,2018
tt0096639,"Lonesome Dove","Adventure, Drama, Western",8.7,28085,1989
tt0459159,"The Thick of It",Comedy,8.7,28030,2005
tt0086661,"The Adventures of Sherlock Holmes","Crime, Drama, Mystery",8.7,26022,1984
tt6025022,"Justice League Unlimited","Action, Adventure, Animation",8.7,23228,2004
tt20859920,"Alchemy of Souls","Action, Drama, Fantasy",8.7,23016,2022
tt0988818,Gintama,"Action, Animation, Comedy",8.7,18266,2005
tt15295490,"Campus Diaries","Comedy, Drama, Romance",8.7,17560,2022
tt4063800,"The Bureau","Drama, Thriller",8.7,16976,2015
tt0106028,"Homicide: Life on the Street","Crime, Drama, Mystery",8.7,16029,1993
tt10801534,"How to with John Wilson","Comedy, Documentary",8.7,15549,2020
tt0229889,"El Chavo del Ocho","Comedy, Family",8.7,14990,1972
tt9566030,"Pew News","Comedy, News",8.7,14738,2018
tt0090509,"The Return of Sherlock Holmes","Crime, Drama, Mystery",8.7,14591,1986
tt6111552,"Content Cop","Comedy, Crime, Talk-Show",8.7,12594,2015
tt7094780,"Mr. Sunshine","Action, Drama, History",8.7,12323,2018
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,12292,2014
tt10554898,"The Untamed","Action, Adventure, Drama",8.7,11402,2019
tt0075537,"Mind Your Language",Comedy,8.7,10221,1977
tt0062588,"Mister Rogers' Neighborhood","Family, Fantasy, Music",8.7,10021,1968
tt4574334,"Stranger Things","Drama, Fantasy, Horror",8.6,1444358,2016
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,843215,2006
tt1190634,"The Boys","Action, Comedy, Crime",8.6,776631,2019
tt8111088,"The Mandalorian","Action, Adventure, Fantasy",8.6,624436,2019
tt1856010,"House of Cards",Drama,8.6,546806,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,505284,2015
tt0096697,"The Simpsons","Animation, Comedy",8.6,453330,1989
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,367267,2017
tt0367279,"Arrested Development",Comedy,8.6,334642,2003
tt1266020,"Parks and Recreation",Comedy,8.6,302776,2009
tt4236770,Yellowstone,"Drama, Western",8.6,274700,2018
tt4786824,"The Crown","Biography, Drama, History",8.6,270165,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,262341,1993
tt2788316,Shōgun,"Action, Adventure, Drama",8.6,216619,2024
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,211129,2010
tt15435876,"The Penguin","Crime, Drama",8.6,194327,2024
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,187016,2019
tt1486217,Archer,"Action, Animation, Comedy",8.6,171520,2009
