id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,CodePays
tt1049413,Up,movie,"Adventure, Animation, Comedy",8.3,1181972.0,2009.0,tm153612,1.0,tous publics,'us'
tt0371746,Iron Man,movie,"Action, Adventure, Sci-Fi",7.9,1174076.0,2008.0,tm51227,1.0,tous publics,"'us', 'ca'"
tt0081505,The Shining,movie,"Drama, Horror",8.4,1166709.0,1980.0,tm97341,3.0,12,"'gb', 'us'"
tt1392190,Mad Max: Fury Road,movie,"Action, Adventure, Sci-Fi",8.1,1165476.0,2015.0,tm139376,3.0,tous publics avec avertissement,"'au', 'us'"
tt0086190,Star Wars: Episode VI - Return of the Jedi,movie,"Action, Adventure, Fantasy",8.3,1165448.0,1983.0,tm3,1.0,tous publics,'us'
tt0266543,Finding Nemo,movie,"Adventure, Animation, Comedy",8.2,1160400.0,2003.0,tm135549,1.0,tous publics,"'us', 'jp'"
tt0119217,Good Will Hunting,movie,"Drama, Romance",8.3,1138082.0,1997.0,tm191716,4.0,tous publics,'us'
tt0105236,Reservoir Dogs,movie,"Crime, Thriller",8.3,1132845.0,1992.0,tm123099,5.0,16,'us'
tt0112573,Braveheart,movie,"Biography, Drama, War",8.3,1129549.0,1995.0,tm12503,1.0,tous publics,'us'
tt0114709,Toy Story,movie,"Adventure, Animation, Comedy",8.3,1122770.0,1995.0,tm14765,1.0,tous publics,'us'
tt0477348,No Country for Old Men,movie,"Crime, Drama, Thriller",8.2,1122412.0,2007.0,tm68666,2.0,12,'us'
tt2267998,Gone Girl,movie,"Drama, Mystery, Thriller",8.1,1121299.0,2014.0,tm157735,2.0,tous publics avec avertissement,'us'
tt0107290,Jurassic Park,movie,"Action, Adventure, Sci-Fi",8.2,1119668.0,1993.0,tm184504,1.0,tous publics,'us'
tt0082971,Raiders of the Lost Ark,movie,"Action, Adventure",8.4,1074423.0,1981.0,tm128131,3.0,tous publics,'us'
tt2582802,Whiplash,movie,"Drama, Music",8.5,1074244.0,2014.0,tm158646,1.0,tous publics,'us'
tt6751668,Parasite,movie,"Drama, Thriller",8.5,1062546.0,2019.0,tm414170,2.0,tous publics avec avertissement,'kr'
tt1392170,The Hunger Games,movie,"Action, Adventure, Sci-Fi",7.2,1043361.0,2012.0,tm57536,1.0,tous publics avec avertissement,'us'
tt0198781,"Monsters, Inc.",movie,"Adventure, Animation, Comedy",8.1,1028141.0,2001.0,tm37560,1.0,tous publics,'us'
tt0268978,A Beautiful Mind,movie,"Biography, Drama, Mystery",8.2,1022195.0,2001.0,tm46003,3.0,tous publics,'us'
tt0078748,Alien,movie,"Horror, Sci-Fi",8.5,1016274.0,1979.0,tm72398,1.0,12,"'gb', 'us'"
tt2488496,Star Wars: Episode VII - The Force Awakens,movie,"Action, Adventure, Sci-Fi",7.8,999877.0,2015.0,tm7,1.0,tous publics,"'us', 'gb'"
tt0095016,Die Hard,movie,"Action, Thriller",8.2,990293.0,1988.0,tm52974,1.0,tous publics,'us'
tt0075314,Taxi Driver,movie,"Crime, Drama",8.2,979287.0,1976.0,tm84618,1.0,16,'us'
tt0253474,The Pianist,movie,"Biography, Drama, Music",8.5,968376.0,2002.0,tm114752,3.0,tous publics,"'fr', 'pl', 'de', 'gb', 'us'"
tt3659388,The Martian,movie,"Adventure, Drama, Sci-Fi",8.0,968338.0,2015.0,tm138400,3.0,tous publics,"'us', 'gb', 'hu', 'jo'"
tt0086250,Scarface,movie,"Crime, Drama",8.3,965909.0,1983.0,tm59031,2.0,12::(new rating),'us'
tt2395427,Avengers: Age of Ultron,movie,"Action, Adventure, Sci-Fi",7.3,960315.0,2015.0,tm141000,1.0,tous publics,'us'
tt1160419,Dune: Part One,movie,"Action, Adventure, Drama",8.0,956824.0,2021.0,tm305113,3.0,tous publics,"'us', 'ca'"
tt10872600,Spider-Man: No Way Home,movie,"Action, Adventure, Fantasy",8.2,952090.0,2021.0,tm835252,2.0,tous publics,'us'
tt0208092,Snatch,movie,"Comedy, Crime",8.2,946286.0,2000.0,tm25947,1.0,tous publics,"'gb', 'us'"
tt1843866,Captain America: The Winter Soldier,movie,"Action, Adventure, Sci-Fi",7.7,935090.0,2014.0,tm159149,1.0,tous publics,'us'
tt0800369,Thor,movie,"Action, Fantasy",7.0,933659.0,2011.0,tm171064,1.0,tous publics,'us'
tt0458339,Captain America: The First Avenger,movie,"Action, Adventure, Sci-Fi",6.9,933051.0,2011.0,tm162906,1.0,tous publics,'us'
tt1300854,Iron Man 3,movie,"Action, Adventure, Sci-Fi",7.1,932317.0,2013.0,tm177964,1.0,tous publics,'us'
tt0435761,Toy Story 3,movie,"Adventure, Animation, Comedy",8.3,931844.0,2010.0,tm101226,1.0,tous publics,'us'
tt2278388,The Grand Budapest Hotel,movie,"Comedy, Drama",8.1,926733.0,2014.0,tm162843,4.0,tous publics,"'us', 'de'"
