,id,title,type,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,ValNudite,ScoreNudite,ValViolence,ScoreViolence,ValVulgarite,ScoreVulgarite,ValStupefiants,ScoreStupefiants,ValIntensite,ScoreIntensite,CP_ae,CP_ar,CP_at,CP_au,CP_be,CP_bg,CP_br,CP_ca,CP_ch,CP_cl,CP_cn,CP_co,CP_cz,CP_de,CP_dk,CP_dz,CP_es,CP_fi,CP_fr,CP_gb,CP_gr,CP_hk,CP_hr,CP_hu,CP_id,CP_ie,CP_il,CP_in,CP_is,CP_it,CP_jo,CP_jp,CP_ke,CP_kh,CP_kr,CP_lu,CP_ma,CP_mc,CP_mt,CP_mx,CP_my,CP_nl,CP_no,CP_np,CP_nz,CP_pa,CP_pe,CP_ph,CP_pl,CP_pr,CP_pt,CP_py,CP_qa,CP_ro,CP_rs,CP_ru,CP_se,CP_sg,CP_si,CP_th,CP_tr,CP_tw,CP_ua,CP_us,CP_uy,CP_vn,CP_xwg,CP_za,Genre_action,Genre_adventure,Genre_animation,Genre_biography,Genre_comedy,Genre_crime,Genre_documentary,Genre_drama,Genre_family,Genre_fantasy,Genre_film-noir,Genre_history,Genre_horror,Genre_music,Genre_musical,Genre_mystery,Genre_romance,Genre_sci-fi,Genre_sport,Genre_thriller,Genre_war,Genre_western
737,tt1596343,Fast Five,movie,7.3,420736.0,2011.0,tm170517,1.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.3e142c1e-2bce-4198-897e-7430f5be2ad5,Prime Video,13+,Faible,40.8,Modéré,65.08,Modéré,60.61,Faible,75.93,Modéré,63.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
738,tt0112864,Die Hard with a Vengeance,movie,7.6,420303.0,1995.0,tm8637,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fdie-hard-with-a-vengeance%2F7PTXoHqR8mCE&subId3=justappsvod,Disney+,16+,Faible,56.3,Élevé,72.04,Élevé,80.53,Faible,71.43,Modéré,57.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
739,tt7784604,Hereditary,movie,7.3,419755.0,2018.0,tm364165,1.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.bce15164-b6c9-4884-a898-93d87ae2a4a2,Prime Video,16+,Modéré,41.52,Élevé,83.54,Modéré,63.56,Modéré,52.97,Élevé,90.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
740,tt0096895,Batman,movie,7.5,419702.0,1989.0,tm138000,3.0,tous publics,https://www.mycanal.fr/cinema/batman/h/40421922_50889,MyCanal,-12,Faible,60.29,Modéré,73.72,Faible,73.19,Faible,87.07,Modéré,65.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,tt0096895,Batman,movie,7.5,419702.0,1989.0,tm138000,3.0,tous publics,https://play.max.com/show/a14fb13a-1d49-41c3-82ec-3a42c346cb67?utm_source=universal_search,MAX,,Faible,60.29,Modéré,73.72,Faible,73.19,Faible,87.07,Modéré,65.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,tt0096895,Batman,movie,7.5,419702.0,1989.0,tm138000,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.a4a9f7bf-f17a-1955-3d02-2300d75f462a,Prime Video,16+,Faible,60.29,Modéré,73.72,Faible,73.19,Faible,87.07,Modéré,65.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,tt0120912,Men in Black II,movie,6.2,419025.0,2002.0,tm114954,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.347bc152-9241-4723-80c5-a7cac656edd2,Prime Video,TOUS PUBLICS,Faible,34.29,Modéré,64.71,Faible,62.07,Faible,81.25,Faible,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,tt0120912,Men in Black II,movie,6.2,419025.0,2002.0,tm114954,2.0,tous publics,https://www.molotov.tv/fr_fr/p/5941-2327/men-in-black-ii,Autre,,Faible,34.29,Modéré,64.71,Faible,62.07,Faible,81.25,Faible,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,tt0147800,10 Things I Hate About You,movie,7.4,418829.0,1999.0,tm874,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2F10-bonnes-raisons-de-te-larguer%2F10OzquDiTIJB&subId3=justappsvod,Disney+,12+,Faible,51.45,Faible,68.35,Faible,57.42,Faible,71.2,Aucun,89.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
746,tt0117571,Scream,movie,7.4,417645.0,1996.0,tm927825,1.0,16,https://app.primevideo.com/detail?gti=amzn1.dv.gti.524e8553-ffd8-413e-aa9c-8b00c60a133c,Prime Video,16+,Faible,58.74,Élevé,74.1,Modéré,52.72,Faible,78.25,Élevé,68.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
