,id,title,type,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,visaCNC,classifCNC,ValNudite,ScoreNudite,ValViolence,ScoreViolence,ValVulgarite,ScoreVulgarite,ValStupefiants,ScoreStupefiants,ValIntensite,ScoreIntensite,Genre_action,Genre_adventure,Genre_animation,Genre_biography,Genre_comedy,Genre_crime,Genre_documentary,Genre_drama,Genre_family,Genre_fantasy,Genre_film-noir,Genre_history,Genre_horror,Genre_music,Genre_musical,Genre_mystery,Genre_romance,Genre_sci-fi,Genre_sport,Genre_thriller,Genre_war,Genre_western,classifJW,Duree,DureeEp,CP_
0,tt0111161,The Shawshank Redemption,movie,9.3,3044564.0,1994.0,tm119206,3.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.20b4c3cf-b703-aebb-41bd-0dc683f8c0c8,Prime Video,16+,87498,Tous publics,Faible,41.67,Modéré,69.39,Élevé,60.28,Faible,72.73,Modéré,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,142.0,,['US']
1,tt0111161,The Shawshank Redemption,movie,9.3,3044564.0,1994.0,tm119206,3.0,tous publics avec avertissement,https://play.max.com/show/9b4dacba-2f80-4272-aac7-bb5e2ae91343?utm_source=universal_search,MAX,,87498,Tous publics,Faible,41.67,Modéré,69.39,Élevé,60.28,Faible,72.73,Modéré,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,142.0,,['US']
2,tt0111161,The Shawshank Redemption,movie,9.3,3044564.0,1994.0,tm119206,3.0,tous publics avec avertissement,https://www.mycanal.fr/cinema/les-evades/h/40436199_50889,MyCanal,-12,87498,Tous publics,Faible,41.67,Modéré,69.39,Élevé,60.28,Faible,72.73,Modéré,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,142.0,,['US']
3,tt0468569,The Dark Knight,movie,9.0,3021134.0,2008.0,tm56184,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.18b7edbe-a800-19a8-45b5-c1804b71a7a5,Prime Video,13+,121053,Tous publics,Aucun,73.06,Modéré,67.78,Faible,75.62,Faible,81.81,Élevé,63.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,152.0,,['US']
4,tt0468569,The Dark Knight,movie,9.0,3021134.0,2008.0,tm56184,2.0,tous publics,https://play.max.com/show/52217243-a137-45d6-9c6a-0dfab4633034?utm_source=universal_search,MAX,,121053,Tous publics,Aucun,73.06,Modéré,67.78,Faible,75.62,Faible,81.81,Élevé,63.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,152.0,,['US']
5,tt1375666,Inception,movie,8.8,2684072.0,2010.0,tm92641,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.6974454d-3b83-4093-881b-d218cc43adb5,Prime Video,13+,126718,Tous publics,Aucun,81.74,Modéré,62.54,Faible,71.5,Faible,72.45,Modéré,61.61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,148.0,,"['US', 'GB']"
6,tt1375666,Inception,movie,8.8,2684072.0,2010.0,tm92641,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5ca9f69c-796e-2320-e56f-f758fa5957b5,Prime Video,13+,126718,Tous publics,Aucun,81.74,Modéré,62.54,Faible,71.5,Faible,72.45,Modéré,61.61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,148.0,,"['US', 'GB']"
7,tt1375666,Inception,movie,8.8,2684072.0,2010.0,tm92641,4.0,tous publics,https://www.mycanal.fr/cinema/inception/h/40442683_50889,MyCanal,-12,126718,Tous publics,Aucun,81.74,Modéré,62.54,Faible,71.5,Faible,72.45,Modéré,61.61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,148.0,,"['US', 'GB']"
8,tt1375666,Inception,movie,8.8,2684072.0,2010.0,tm92641,4.0,tous publics,https://play.max.com/show/14552c93-d318-4563-a00b-343df7e35d0b?utm_source=universal_search,MAX,,126718,Tous publics,Aucun,81.74,Modéré,62.54,Faible,71.5,Faible,72.45,Modéré,61.61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,148.0,,"['US', 'GB']"
9,tt0137523,Fight Club,movie,8.8,2465169.0,1999.0,tm42409,1.0,16,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Ffight-club%2F38HCX4uW3BlA&subId3=justappsvod,Disney+,18+,98226,Interdiction aux mineurs -16 ans,Modéré,39.99,Élevé,83.81,Élevé,76.55,Modéré,47.14,Élevé,67.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,139.0,,['US']
10,tt0109830,Forrest Gump,movie,8.8,2379299.0,1994.0,tm122434,2.0,tous publics,https://www.paramountplus.com/movies/forrest-gump/ms2eMPRyXDpOLCITPSn8wW_7ZdQ6g9dV?searchReferral=,Paramount+,12,86499,Tous publics,Modéré,53.6,Modéré,67.56,Modéré,60.0,Modéré,69.33,Modéré,58.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,142.0,,['US']
11,tt0109830,Forrest Gump,movie,8.8,2379299.0,1994.0,tm122434,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.d2a9f65f-019a-dc2a-9f03-e9b342352bac,Prime Video,18+,86499,Tous publics,Modéré,53.6,Modéré,67.56,Modéré,60.0,Modéré,69.33,Modéré,58.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,142.0,,['US']
12,tt0816692,Interstellar,movie,8.7,2345627.0,2014.0,tm157099,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.b4a9f7c6-5def-7e63-9aa7-df38a479333e,Prime Video,16+,140695,Tous publics,Aucun,92.08,Faible,73.26,Faible,65.17,Aucun,82.47,Modéré,52.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,169.0,,['US']
13,tt0816692,Interstellar,movie,8.7,2345627.0,2014.0,tm157099,3.0,tous publics,https://www.netflix.com/title/70305903,Netflix,13+,140695,Tous publics,Aucun,92.08,Faible,73.26,Faible,65.17,Aucun,82.47,Modéré,52.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,169.0,,['US']
14,tt0816692,Interstellar,movie,8.7,2345627.0,2014.0,tm157099,3.0,tous publics,https://play.max.com/show/aa5b9295-8f9c-44f5-809b-3f2b84badfbf?utm_source=universal_search,MAX,,140695,Tous publics,Aucun,92.08,Faible,73.26,Faible,65.17,Aucun,82.47,Modéré,52.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,169.0,,['US']
15,tt0110912,Pulp Fiction,movie,8.8,2334909.0,1994.0,tm112130,1.0,12,https://tv.apple.com/fr/movie/pulp-fiction/umc.cmc.1hfvw2p79f9qdeydow8nmrn7t?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A1540355933,AppleTV+,-16,86325,Interdiction aux mineurs -12 ans,Modéré,43.93,Élevé,80.25,Élevé,91.2,Élevé,87.75,Modéré,46.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,154.0,,['US']
16,tt0133093,The Matrix,movie,8.7,2156057.0,1999.0,tm10,3.0,tous publics avec avertissement,https://www.mycanal.fr/cinema/matrix/h/40442430_50889,MyCanal,-12,97109,Tous publics avec avertissement,Faible,47.47,Modéré,67.76,Modéré,47.13,Faible,79.18,Modéré,59.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,136.0,,['US']
17,tt0133093,The Matrix,movie,8.7,2156057.0,1999.0,tm10,3.0,tous publics avec avertissement,https://play.max.com/show/012cacbd-5893-4379-b7a6-d3737c61d4b5?utm_source=universal_search,MAX,,97109,Tous publics avec avertissement,Faible,47.47,Modéré,67.76,Modéré,47.13,Faible,79.18,Modéré,59.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,136.0,,['US']
