,id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,Diff
21,tt10048342,The Queen's Gambit,tvMiniSeries,Drama,8.5,617462.0,2020.0,ts89259,1.0,['https://www.netflix.com/title/80234304']
22,tt2306299,Vikings,tvSeries,"Action, Adventure, Drama",8.5,617302.0,2013.0,ts22413,1.0,['https://www.netflix.com/title/70301870']
23,tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,"['https://www.crunchyroll.com/series/GR751KNZY/attack-on-titan', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.ccbc22a6-c072-7744-9891-5b4742c69074', 'https://animationdigitalnetwork.com/video/662-attaque-des-titans-shingeki-no-kyojin/13074-episode-2', 'https://www.netflix.com/title/70299043', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.28a9f684-21e7-1820-db3f-87f21a0dd1a5']"
24,tt5180504,The Witcher,tvSeries,"Action, Adventure, Drama",7.9,595564.0,2019.0,ts57327,1.0,['https://www.netflix.com/title/80189685']
25,tt6468322,Money Heist,tvSeries,"Action, Crime, Drama",8.2,571214.0,2017.0,ts56768,1.0,['https://www.netflix.com/title/80192098']
26,tt0185906,Band of Brothers,tvMiniSeries,"Action, Drama, History",9.4,562005.0,2001.0,ts17149,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.f82f2fa1-1ca3-4bb5-a135-dcee6451b309', 'https://play.max.com/video/watch/2f2fb00b-c1eb-4bd2-a116-8be38f4571ca?utm_source=universal_search', 'https://www.mycanal.fr/series/band-of-brothers/h/40428382_50889']"
27,tt0412142,House,tvSeries,"Drama, Mystery",8.7,558518.0,2004.0,ts22280,3.0,"['https://www.netflix.com/title/70136117', 'https://app.molotov.tv/channel/47/program/1483', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.985bb3c2-a248-4124-86c5-b93a81e986b6']"
28,tt0475784,Westworld,tvSeries,"Drama, Mystery, Sci-Fi",8.4,548044.0,2016.0,ts36416,0.0,[]
29,tt1856010,House of Cards,tvSeries,Drama,8.6,546925.0,2013.0,ts24149,0.0,[]
30,tt0141842,The Sopranos,tvSeries,"Crime, Drama",9.2,524810.0,1999.0,ts20995,3.0,"['https://www.mycanal.fr/series/les-soprano/h/40427482_50889', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.02a38ae7-44a8-4040-949f-777f566c58b0', 'https://play.max.com/video/watch/c0a1a9f6-2b2f-419a-8130-a9d7acbeaef8?utm_source=universal_search']"
