id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,Diffuseur(s)
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,movie,"Action, Adventure, Fantasy",8.1,1266603.0,2003.0,tm133512,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fpirates-des-caraibes-la-malediction-du-black-pearl%2F2XuO7Cc1YEau&subId3=justappsvod']
tt1201607,Harry Potter and the Deathly Hallows: Part 2,movie,"Adventure, Family, Fantasy",8.1,997781.0,2011.0,tm177297,3.0,"['https://www.mycanal.fr/cinema/harry-potter-et-les-reliques-de-la-mort-partie-2/h/40439242_50889', 'https://play.max.com/show/1890c8c5-2f40-4140-a363-064428201826?utm_source=universal_search', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.efe48bee-02f5-4dfb-a28e-b07d4c91920e']"
tt15097216,Jai Bhim,movie,"Crime, Drama",8.6,225748.0,2021.0,tm1108724,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.460ca3e8-c2a4-4027-8600-69364b086651']
tt0949731,The Happening,movie,"Adventure, Drama, Sci-Fi",5.0,222595.0,2008.0,tm30505,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fthe-happening%2F2V6FKeZRE593&subId3=justappsvod']
tt13287846,Napoleon,movie,"Action, Adventure, Biography",6.3,173345.0,2023.0,tm1325511,1.0,['https://tv.apple.com/fr/movie/napoleon/umc.cmc.25k80oxl3vo69c8rimk8v81s1?at=1000l3V2&ct=app_tvplus&itscg=30200&itsct=justwatch_tv_12']
tt0290673,Irreversible,movie,"Crime, Drama, Mystery",7.3,155240.0,2002.0,tm104417,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.b025ad0e-bb99-48c3-8727-d673cdc584e9']
