id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,CodePays
tt9140560,WandaVision,tvMiniSeries,"Action, Comedy, Drama",7.9,396101.0,2021.0,ts86795,1.0,12::(self-applied),'us'
tt11126994,Arcane,tvSeries,"Action, Adventure, Animation",9.0,395339.0,2021.0,ts222333,1.0,16::(self-applied),"'us', 'fr'"
tt2467372,Brooklyn Nine-Nine,tvSeries,"Comedy, Crime",8.4,394037.0,2013.0,ts11174,1.0,tous publics,'us'
tt7767422,Sex Education,tvSeries,"Comedy, Drama, Romance",8.2,378893.0,2019.0,ts82915,1.0,16,'gb'
tt0182576,Family Guy,tvSeries,"Animation, Comedy",8.1,377464.0,1999.0,ts3,1.0,10,'us'
tt3107288,The Flash,tvSeries,"Action, Adventure, Drama",7.5,376981.0,2014.0,ts11188,1.0,tous publics,'us'
tt4052886,Lucifer,tvSeries,"Crime, Drama, Fantasy",8.0,375645.0,2016.0,ts36147,1.0,10,'us'
tt5071412,Ozark,tvSeries,"Crime, Drama, Thriller",8.5,370020.0,2017.0,ts53864,1.0,16,'us'
tt1796960,Homeland,tvSeries,"Crime, Drama, Mystery",8.3,369549.0,2011.0,ts10,1.0,12,'us'
tt0098904,Seinfeld,tvSeries,Comedy,8.9,368875.0,1989.0,ts20681,1.0,tous publics::(dvd rating),'us'
tt5290382,Mindhunter,tvSeries,"Crime, Drama, Mystery",8.6,367537.0,2017.0,ts42405,1.0,16,'us'
tt1405406,The Vampire Diaries,tvSeries,"Drama, Fantasy, Horror",7.7,366922.0,2009.0,ts21247,4.0,10,'us'
tt0413573,Grey's Anatomy,tvSeries,"Drama, Romance",7.6,359594.0,2005.0,ts21469,3.0,10,'us'
tt1844624,American Horror Story,tvSeries,"Drama, Horror, Sci-Fi",7.9,354626.0,2011.0,ts5746,1.0,12,'us'
tt1124373,Sons of Anarchy,tvSeries,"Crime, Drama, Thriller",8.5,340212.0,2008.0,ts22085,1.0,16,'us'
tt7335184,You,tvSeries,"Crime, Drama, Romance",7.7,336918.0,2018.0,ts79813,1.0,16,'us'
tt0367279,Arrested Development,tvSeries,Comedy,8.6,334767.0,2003.0,ts17156,2.0,tous publics::(dvd rating),'us'
tt2372162,Orange Is the New Black,tvSeries,"Comedy, Crime, Drama",8.0,328947.0,2013.0,ts20823,1.0,16,'us'
tt1837492,13 Reasons Why,tvSeries,"Drama, Mystery, Thriller",7.4,328734.0,2017.0,ts42294,1.0,18,'us'
tt7660850,Succession,tvSeries,"Comedy, Drama",8.8,317339.0,2018.0,ts77979,3.0,12,'us'
tt11280740,Severance,tvSeries,"Drama, Mystery, Sci-Fi",8.7,316756.0,2022.0,ts320458,2.0,12::(self-applied),'us'
tt1586680,Shameless,tvSeries,"Comedy, Drama",8.5,311018.0,2011.0,ts20660,3.0,tous publics,'us'
tt6763664,The Haunting of Hill House,tvMiniSeries,"Drama, Horror, Mystery",8.5,309942.0,2018.0,ts58433,1.0,16,'us'
tt1312171,The Umbrella Academy,tvSeries,"Action, Adventure, Comedy",7.8,303758.0,2019.0,ts76645,1.0,16::(self-applied),'us'
tt0388629,One Piece,tvSeries,"Action, Adventure, Animation",8.9,297232.0,1999.0,ts255424,4.0,10,'jp'
tt10234724,Moon Knight,tvMiniSeries,"Action, Adventure, Fantasy",7.3,292468.0,2022.0,ts219003,1.0,16::(self-applied),'us'
tt0303461,Firefly,tvSeries,"Adventure, Drama, Sci-Fi",8.9,290794.0,2002.0,ts2817,1.0,tous publics::(dvd rating),'us'
tt2741602,The Blacklist,tvSeries,"Crime, Drama, Mystery",7.9,290328.0,2013.0,ts1639,1.0,10,'us'
tt0369179,Two and a Half Men,tvSeries,"Comedy, Romance",7.1,289851.0,2003.0,ts21924,3.0,tous publics,'us'
tt5675620,The Punisher,tvSeries,"Action, Crime, Drama",8.4,284738.0,2017.0,ts43178,1.0,16,'us'
tt0285403,Scrubs,tvSeries,"Comedy, Drama",8.4,277487.0,2001.0,ts21608,1.0,tous publics,'us'
tt13406094,The White Lotus,tvSeries,"Comedy, Drama",8.0,277239.0,2021.0,ts256052,3.0,12,'us'
tt5834204,The Handmaid's Tale,tvSeries,"Drama, Sci-Fi, Thriller",8.3,276936.0,2017.0,ts53559,2.0,12,'us'
tt4236770,Yellowstone,tvSeries,"Drama, Western",8.6,275341.0,2018.0,ts75269,4.0,10,'us'
tt0804503,Mad Men,tvSeries,Drama,8.7,275165.0,2007.0,ts22013,1.0,tous publics,'us'
tt6741278,Invincible,tvSeries,"Action, Adventure, Animation",8.7,275086.0,2021.0,ts281929,1.0,16::(self-applied),'us'
tt8772296,Euphoria,tvSeries,Drama,8.3,272017.0,2019.0,ts87074,3.0,16,'us'
tt0149460,Futurama,tvSeries,"Adventure, Animation, Comedy",8.5,271125.0,1999.0,ts304342,1.0,tous publics,'us'
tt4786824,The Crown,tvSeries,"Biography, Drama, History",8.6,270246.0,2016.0,ts42069,1.0,16,"'gb', 'us'"
tt14452776,The Bear,tvSeries,"Comedy, Drama",8.5,269695.0,2022.0,ts314106,1.0,18,'us'
tt9208876,The Falcon and the Winter Soldier,tvMiniSeries,"Action, Adventure, Drama",7.1,267620.0,2021.0,ts89898,1.0,12::(self-applied),'us'
tt1442449,Spartacus,tvSeries,"Action, Adventure, Biography",8.5,266672.0,2010.0,ts21527,1.0,16,'us'
tt0844441,True Blood,tvSeries,"Drama, Fantasy, Mystery",7.9,266081.0,2008.0,ts20566,3.0,12,'us'
tt0472954,It's Always Sunny in Philadelphia,tvSeries,Comedy,8.8,265999.0,2005.0,ts21546,1.0,10,'us'
tt9288030,Reacher,tvSeries,"Action, Crime, Drama",8.0,264671.0,2022.0,ts314375,1.0,16::(self-applied),'us'
tt1119644,Fringe,tvSeries,"Drama, Mystery, Sci-Fi",8.4,264068.0,2008.0,ts20536,3.0,tous publics::(with warning),"'us', 'ca'"
tt0436992,Doctor Who,tvSeries,"Adventure, Drama, Sci-Fi",8.5,257156.0,2005.0,ts422861,1.0,tous publics,'gb'
tt1826940,New Girl,tvSeries,"Comedy, Romance",7.8,255500.0,2011.0,ts20564,1.0,tous publics,'us'
tt8466564,Obi-Wan Kenobi,tvMiniSeries,"Action, Adventure, Sci-Fi",7.0,248426.0,2022.0,ts219048,1.0,12::(self-applied),'us'
tt3749900,Gotham,tvSeries,"Action, Crime, Drama",7.8,247102.0,2014.0,ts20292,3.0,10,'us'
tt1843230,Once Upon a Time,tvSeries,"Adventure, Fantasy, Romance",7.7,242908.0,2011.0,ts20630,2.0,tous publics,'us'
tt3920596,Big Little Lies,tvSeries,"Crime, Drama, Mystery",8.4,236221.0,2017.0,ts41275,3.0,12,'us'
tt6257970,The End of the F***ing World,tvSeries,"Adventure, Comedy, Crime",8.0,235310.0,2017.0,ts76243,1.0,16,'gb'
tt1606375,Downton Abbey,tvSeries,"Drama, Romance",8.7,234747.0,2010.0,ts11,1.0,tous publics,'gb'
tt2357547,Jessica Jones,tvSeries,"Action, Crime, Drama",7.8,233654.0,2015.0,ts35811,1.0,16,'us'
tt0098936,Twin Peaks,tvSeries,"Crime, Drama, Mystery",8.7,231687.0,1990.0,ts86729,3.0,tous publics,'us'
tt7221388,Cobra Kai,tvSeries,"Action, Comedy, Drama",8.4,231030.0,2018.0,ts78801,1.0,not rated,'us'
tt2364582,Agents of S.H.I.E.L.D.,tvSeries,"Action, Adventure, Drama",7.5,230915.0,2013.0,ts5,1.0,10,'us'
tt10160804,Hawkeye,tvMiniSeries,"Action, Adventure, Crime",7.4,230416.0,2021.0,ts89837,1.0,12::(self-applied),'us'
tt0452046,Criminal Minds,tvSeries,"Crime, Drama, Mystery",8.1,230363.0,2005.0,ts6495,6.0,12,'us'
tt5687612,Fleabag,tvSeries,"Comedy, Drama",8.7,227031.0,2016.0,ts42047,1.0,18,'gb'
tt1355642,Fullmetal Alchemist: Brotherhood,tvSeries,"Action, Adventure, Animation",9.1,221175.0,2009.0,ts21482,2.0,tous publics::(dvd rating),'jp'
tt9561862,"Love, Death & Robots",tvSeries,"Action, Adventure, Animation",8.4,214567.0,2019.0,ts88361,1.0,18::(self-applied),'us'
tt9253284,Andor,tvSeries,"Action, Adventure, Drama",8.5,212137.0,2022.0,ts85391,1.0,13::(self-applied),'us'
tt1196946,The Mentalist,tvSeries,"Crime, Drama, Mystery",8.2,212111.0,2008.0,ts21218,3.0,10,'us'
tt0979432,Boardwalk Empire,tvSeries,"Crime, Drama",8.6,211217.0,2010.0,ts14772,3.0,16,'us'
tt3398228,BoJack Horseman,tvSeries,"Animation, Comedy, Drama",8.8,210233.0,2014.0,ts14583,1.0,16,'us'
tt4955642,The Good Place,tvSeries,"Comedy, Drama, Fantasy",8.2,206730.0,2016.0,ts41766,1.0,13::(self-applied),'us'
tt0397442,Gossip Girl,tvSeries,"Drama, Romance",7.5,206135.0,2007.0,ts288382,2.0,10::(tv rating),'us'
tt10155688,Mare of Easttown,tvMiniSeries,"Crime, Drama, Mystery",8.4,205123.0,2021.0,ts190845,3.0,12,'us'
tt8740790,Bridgerton,tvSeries,"Drama, Romance",7.4,204548.0,2020.0,ts216679,1.0,16,'us'
tt0285331,24,tvSeries,"Action, Crime, Drama",8.4,202505.0,2001.0,ts7688,4.0,tous publics,'us'
tt4508902,One Punch Man,tvSeries,"Action, Animation, Comedy",8.7,201791.0,2015.0,ts37539,3.0,12::(dvd rating),'jp'
tt10857160,She-Hulk: Attorney at Law,tvMiniSeries,"Action, Adventure, Comedy",5.1,200883.0,2022.0,ts246110,1.0,12::(self-applied),'us'
tt13668894,The Book of Boba Fett,tvMiniSeries,"Action, Adventure, Sci-Fi",7.1,199798.0,2021.0,ts270001,1.0,12::(self-applied),'us'
tt1839578,Person of Interest,tvSeries,"Action, Crime, Drama",8.5,198100.0,2011.0,ts21302,3.0,tous publics,'us'
tt0988824,Naruto: Shippuden,tvSeries,"Action, Adventure, Animation",8.7,198027.0,2007.0,ts22069,5.0,tous publics,'jp'
tt2261227,Altered Carbon,tvSeries,"Action, Adventure, Drama",7.9,196665.0,2018.0,ts54102,1.0,16,'us'
tt0384766,Rome,tvSeries,"Action, Drama, Romance",8.7,195062.0,2005.0,ts22363,3.0,tous publics::(dvd rating),"'gb', 'us'"
tt13207736,Monsters,tvSeries,"Biography, Crime, Drama",7.8,192817.0,2022.0,ts258748,1.0,18,'us'
tt0904208,Californication,tvSeries,"Comedy, Drama",8.3,192037.0,2007.0,ts9581,3.0,16,'us'
tt3006802,Outlander,tvSeries,"Adventure, Drama, Fantasy",8.3,190751.0,2014.0,ts20837,1.0,16,'us'
tt9335498,Demon Slayer: Kimetsu no Yaiba,tvSeries,"Action, Adventure, Animation",8.6,187323.0,2019.0,ts87466,7.0,tous publics avec avertissement,'jp'
tt11691774,Only Murders in the Building,tvSeries,"Comedy, Crime, Drama",8.1,185994.0,2021.0,ts233295,1.0,12::(self-applied),'us'
tt1751634,The Sandman,tvSeries,"Drama, Fantasy, Horror",7.7,185092.0,2022.0,ts215712,1.0,18::(self-applied),"'gb', 'us'"
tt14688458,Silo,tvSeries,"Drama, Mystery, Sci-Fi",8.1,185083.0,2023.0,ts297178,1.0,12::(self-applied),'us'
tt5057054,Tom Clancy's Jack Ryan,tvSeries,"Action, Drama, Thriller",8.0,184979.0,2018.0,ts75062,1.0,16::(self-applied),'us'
tt0460627,Bones,tvSeries,"Crime, Drama, Mystery",7.8,183977.0,2005.0,ts11895,3.0,10,'us'
tt1578873,Pretty Little Liars,tvSeries,"Drama, Mystery, Romance",7.4,183845.0,2010.0,ts21860,3.0,tous publics,'us'
tt3230854,The Expanse,tvSeries,"Drama, Mystery, Sci-Fi",8.5,183329.0,2015.0,ts37018,1.0,13::(self-applied),'us'
tt2401256,The Night Of,tvMiniSeries,"Crime, Drama, Mystery",8.4,182917.0,2016.0,ts38802,3.0,18,'us'
tt0407362,Battlestar Galactica,tvSeries,"Action, Adventure, Drama",8.7,182287.0,2004.0,ts56662,1.0,tous publics,'us'
